X trueY nnY L2norm
  0.1065389084       1.399366674       1.385879114      0.1819142854E-03
  0.3704998076      0.4835978171      0.5176040037      0.1156420733E-02
  0.2165080271       1.274589117       1.232349018      0.1784225969E-02
  0.8196364206       2.510952781       2.588653608      0.6037418429E-02
  0.3187607119      0.5145494667      0.6065025305      0.8455365941E-02
  0.3292705797      0.4777012711      0.5663063448      0.7850859080E-02
  0.8286348772E-01   1.194512150       1.234377533      0.1589248768E-02
  0.9762523061       3.610996597       3.573292064      0.1421631826E-02
  0.4585510080       1.336574808       1.236411260      0.1003273627E-01
  0.4879701847E-01  0.7706766305      0.8406448752      0.4895555267E-02
  0.4232043251      0.8707439493      0.7959164646      0.5599152473E-02
  0.9499932247       3.212118769       3.145973199      0.4375236311E-02
  0.4420022749E-01  0.7041150904      0.7686228401      0.4161249771E-02
  0.4262087128      0.9048387844      0.8253887658      0.6312305448E-02
  0.6940410950       3.422826519       3.319310899      0.1071548357E-01
  0.4195439395E-01  0.6709455781      0.7316109432      0.3680286526E-02
  0.8895574120       2.574915432       2.619271702      0.1967478752E-02
  0.9453374911       3.147199473       3.083956525      0.3999670553E-02
  0.4103727206      0.7386679893      0.6871583224      0.2653245789E-02
  0.8160857220       2.526102720       2.599127053      0.5332553146E-02
  0.6336659400       3.528740076       3.541849820      0.1718653814E-03
  0.5477852002       2.756184763       2.832603829      0.5839873695E-02
  0.2456745520       1.037026630       1.048147880      0.1236822138E-03
  0.9206694759       2.842887651       2.818728080      0.5836848977E-03
  0.5830049363E-02  0.9651723775E-01 -0.4706555725E-01  0.2061601902E-01
  0.9964248744       3.940788256       3.995551238      0.2998984116E-02
  0.4118697555      0.7529049259      0.6984245931      0.2968106659E-02
  0.4317032067      0.9701178856      0.8832220668      0.7550883308E-02
  0.1037538900       1.379585876       1.372494171      0.5029228259E-04
  0.5731037303       3.087197091       3.189768655      0.1052092581E-01
  0.8248444511       2.491511290       2.575076387      0.6983125394E-02
  0.9443585694       3.133820375       3.071420252      0.3893775292E-02
  0.8892334376       2.572887075       2.617895457      0.2025754463E-02
  0.6904853874E-03  0.1143872795E-01 -0.1886733191      0.4004483139E-01
  0.9652639113       3.438279465       3.378045918      0.3628080170E-02
  0.2602869531      0.9122378769      0.9495926539      0.1395379363E-02
  0.4443115656       1.133180405       1.034892138      0.9660583423E-02
  0.1396314589       1.541670354       1.466881603      0.5593357220E-02
  0.3321862476      0.4700166607      0.5568763667      0.7544608540E-02
  0.8302512278       2.474989579       2.563308977      0.7800316046E-02
  0.3837510908      0.5410449120      0.5472546784      0.3856119862E-04
  0.6778450794       3.498870102       3.413556843      0.7278352061E-02
  0.8033691791       2.591975984       2.644283269      0.2736052081E-02
  0.2545855067      0.9607507336      0.9881422383      0.7502945303E-03
  0.7329820690       3.144155586       3.054013953      0.8125513923E-02
  0.9328679373E-01   1.294783537       1.311916320      0.2935322633E-03
  0.8994763325       2.644835903       2.668062321      0.5394664986E-03
  0.8252937111       2.489993919       2.574006987      0.7058195572E-02
  0.3828553121      0.5362893981      0.5444555786      0.6668650425E-04
  0.2362029742       1.117323111       1.110710779      0.4372294179E-04
  0.4517436110       1.237055121       1.136249584      0.1016175635E-01
  0.9544195639       3.275707261       3.208661911      0.4495079002E-02
